english,ipa,audio
gastropub,ɡˈæstɹəpˌʌb,assets_small\gastropub.wav
gangliar,ɡˈæŋɡlɪɹ,assets_small\gangliar.wav
galvanization,ɡˌælvɐnᵻzˈeɪʃən,assets_small\galvanization.wav
gauzinesses,ɡˈɔːzaɪnəsᵻz,assets_small\gauzinesses.wav
gaddi,ɡˈædi,assets_small\gaddi.wav
genitalial,dʒˌɛnɪtˈeɪlɪəl,assets_small\genitalial.wav
gecks,ɡˈɛks,assets_small\gecks.wav
gelable,dʒˈiːləbəl,assets_small\gelable.wav
geochemistry,dʒˌiːoʊkˈɛmɪstɹi,assets_small\geochemistry.wav
gecking,ɡˈɛkɪŋ,assets_small\gecking.wav
gearing,ɡˈɪɹɪŋ,assets_small\gearing.wav
geology,dʒɪˈɑːlədʒi,assets_small\geology.wav
getter,ɡˈɛɾɚ,assets_small\getter.wav
gematrias,dʒɛmˈætɹiəz,assets_small\gematrias.wav
ghostlike,ɡˈoʊstlaɪk,assets_small\ghostlike.wav
ghrelin,dʒˈiːhɹˈɛlɪn,assets_small\ghrelin.wav
ghast,ɡˈæst,assets_small\ghast.wav
ghillying,ɡˈɪliɪŋ,assets_small\ghillying.wav
ghostliness,ɡˈoʊstlinəs,assets_small\ghostliness.wav
ghoulishly,ɡˈuːlɪʃli,assets_small\ghoulishly.wav
ghastlier,ɡˈæstliɚ,assets_small\ghastlier.wav
gharris,ɡˈæɹɪs,assets_small\gharris.wav
ghettoises,ɡˈɛɾɔɪsᵻz,assets_small\ghettoises.wav
gismo,dʒˈɪsmoʊ,assets_small\gismo.wav
gillravitch,ɡˈɪlɹɐvˌɪtʃ,assets_small\gillravitch.wav
gibbetted,dʒˈɪbɪɾᵻd,assets_small\gibbetted.wav
gigantean,dʒaɪɡˈæntiən,assets_small\gigantean.wav
gigantology,dʒaɪɡɐntˈɑːlədʒi,assets_small\gigantology.wav
gilgie,ɡˈɪldʒi,assets_small\gilgie.wav
gillravitches,ɡˈɪlɹɐvˌɪtʃᵻz,assets_small\gillravitches.wav
girlhoods,ɡˈɜːlhʊdz,assets_small\girlhoods.wav
gipsens,dʒˈɪpsənz,assets_small\gipsens.wav
gjetost,dʒˈiːdʒˈɛɾɑːst,assets_small\gjetost.wav
gjetosts,dʒˈiːdʒˈɛɾɑːsts,assets_small\gjetosts.wav
glyphographical,ɡlˌɪfəɡɹˈæfɪkəl,assets_small\glyphographical.wav
gleaners,ɡlˈiːnɚz,assets_small\gleaners.wav
glede,ɡlˈiːd,assets_small\glede.wav
gluttonised,ɡlˈʌʔn̩ˌaɪzd,assets_small\gluttonised.wav
glucosamine,ɡluːkˈɑːsɐmˌiːn,assets_small\glucosamine.wav
glossologies,ɡlɔsˈɑːlədʒiz,assets_small\glossologies.wav
glutei,ɡlˈuːɾeɪ,assets_small\glutei.wav
glaired,ɡlˈɛɹd,assets_small\glaired.wav
glimpsing,ɡlˈɪmpsɪŋ,assets_small\glimpsing.wav
gmelinite,dʒˈiːmˈɛlɪnˌaɪt,assets_small\gmelinite.wav
gmelinites,dʒˈiːmˈɛlɪnˌaɪts,assets_small\gmelinites.wav
gnomonic,nəmˈɑːnɪk,assets_small\gnomonic.wav
gnashed,nˈæʃt,assets_small\gnashed.wav
gnawn,nˈɔːn,assets_small\gnawn.wav
gnashings,nˈæʃɪŋz,assets_small\gnashings.wav
gnats,nˈæts,assets_small\gnats.wav
gnarring,nˈɑːɹɹɪŋ,assets_small\gnarring.wav
gnathites,nˈæθaɪts,assets_small\gnathites.wav
gnotobiotes,nˈɑːɾoʊbɪˌoʊts,assets_small\gnotobiotes.wav
gnosticism,nˈɑːstɪsˌɪzəm,assets_small\gnosticism.wav
gospellises,ɡˈɑːspɪlˌaɪzᵻz,assets_small\gospellises.wav
goatfishes,ɡˈoʊtfɪʃᵻz,assets_small\goatfishes.wav
goliaths,ɡəlˈaɪəθs,assets_small\goliaths.wav
gourd,ɡˈʊɹd,assets_small\gourd.wav
goloshed,ɡˈɑːlɑːʃt,assets_small\goloshed.wav
goombahs,ɡˈuːmbəz,assets_small\goombahs.wav
gonfalons,ɡˈɑːnfælənz,assets_small\gonfalons.wav
golfer,ɡˈɑːlfɚ,assets_small\golfer.wav
gogglers,ɡˈɑːɡlɚz,assets_small\gogglers.wav
griseous,ɡɹˈaɪsiəs,assets_small\griseous.wav
graveolent,ɡɹˈeɪvələnt,assets_small\graveolent.wav
gryces,ɡɹˈaɪsᵻz,assets_small\gryces.wav
granulose,ɡɹˈænuːlˌoʊs,assets_small\granulose.wav
greybacks,ɡɹˈeɪbæks,assets_small\greybacks.wav
grimaces,ɡɹˈɪmɪsᵻz,assets_small\grimaces.wav
greetings,ɡɹˈiːɾɪŋz,assets_small\greetings.wav
gramophony,ɡɹæmˈɑːfəni,assets_small\gramophony.wav
granulocytic,ɡɹˌænuːləsˈɪɾɪk,assets_small\granulocytic.wav
gulling,ɡˈʌlɪŋ,assets_small\gulling.wav
gungier,ɡˈʌndʒiɚ,assets_small\gungier.wav
gurge,ɡˈɜːdʒ,assets_small\gurge.wav
gushingly,ɡˈʌʃɪŋli,assets_small\gushingly.wav
guidage,ɡˈaɪdɪdʒ,assets_small\guidage.wav
gulped,ɡˈʌlpt,assets_small\gulped.wav
guyliners,ɡˈaɪlaɪnɚz,assets_small\guyliners.wav
gutzer,ɡˈʌtsɚ,assets_small\gutzer.wav
gunnings,ɡˈʌnɪŋz,assets_small\gunnings.wav
gwiniads,ɡwˈɪnɪˌædz,assets_small\gwiniads.wav
gwine,ɡwˈaɪn,assets_small\gwine.wav
gweducs,ɡwˈɛdʌks,assets_small\gweducs.wav
gweduck,ɡwˈɛdʌk,assets_small\gweduck.wav
gwiniad,ɡwˈɪnɪˌæd,assets_small\gwiniad.wav
gwyniad,ɡwˈɪnɪˌæd,assets_small\gwyniad.wav
gweducks,ɡwˈɛdʌks,assets_small\gweducks.wav
gwyniads,ɡwˈɪnɪˌædz,assets_small\gwyniads.wav
gweduc,ɡwˈɛdʌk,assets_small\gweduc.wav
gytrash,dʒˈɪtɹæʃ,assets_small\gytrash.wav
gymmal,dʒˈɪməl,assets_small\gymmal.wav
gytes,dʒˈaɪts,assets_small\gytes.wav
gymnospermous,dʒˈɪmnəspɚməs,assets_small\gymnospermous.wav
gymnasiums,dʒɪmnˈeɪsiəmz,assets_small\gymnasiums.wav
gynomonoecious,ɡˌaɪnəmənˈoʊʃəs,assets_small\gynomonoecious.wav
gypseian,dʒˈɪpseɪən,assets_small\gypseian.wav
gynecic,ɡaɪnˈɛsɪk,assets_small\gynecic.wav
gyppers,dʒˈɪpɚz,assets_small\gyppers.wav
halomorphic,hˌeɪləmˈoːɹfɪk,assets_small\halomorphic.wav
hackle,hˈækəl,assets_small\hackle.wav
hasty,hˈeɪsti,assets_small\hasty.wav
hardening,hˈɑːɹdənɪŋ,assets_small\hardening.wav
hallway,hˈɔːlweɪ,assets_small\hallway.wav
halakhah,hˈælækhə,assets_small\halakhah.wav
handbasket,hˈændbæskɪt,assets_small\handbasket.wav
halyard,hˈæljɑːɹd,assets_small\halyard.wav
havocs,hˈævəks,assets_small\havocs.wav
hedgehoppings,hˈɛdʒhɑːpɪŋz,assets_small\hedgehoppings.wav
heulandite,hjˈuːlɐndˌaɪt,assets_small\heulandite.wav
healthier,hˈɛlθiɚ,assets_small\healthier.wav
helideck,hˈɛlaɪdək,assets_small\helideck.wav
hectometer,hɛktˈɑːmɪɾɚ,assets_small\hectometer.wav
hellhounds,hˈɛlhaʊndz,assets_small\hellhounds.wav
hebdomaders,hˈɛbdəmˌeɪdɚz,assets_small\hebdomaders.wav
hepatologist,hˌɛpɐtˈɑːlədʒˌɪst,assets_small\hepatologist.wav
heteroscian,hˌɛɾɚɹˈɑːsiən,assets_small\heteroscian.wav
hissing,hˈɪsɪŋ,assets_small\hissing.wav
hilled,hˈɪld,assets_small\hilled.wav
highted,hˈaɪɾᵻd,assets_small\highted.wav
hibachis,hɪbˈætʃɪz,assets_small\hibachis.wav
hierographers,haɪɚɹˈɑːɡɹəfɚz,assets_small\hierographers.wav
hindbrains,hˈaɪndbɹeɪnz,assets_small\hindbrains.wav
hirsutisms,hˈɜːsuːtˌɪzəmz,assets_small\hirsutisms.wav
hirpled,hˈɜːpəld,assets_small\hirpled.wav
hirsutenesses,hˈɜːsuːtnəsᵻz,assets_small\hirsutenesses.wav
hornpipe,hˈoːɹnpaɪp,assets_small\hornpipe.wav
holon,hˈɑːlɑːn,assets_small\holon.wav
homework,hˈoʊmwɜːk,assets_small\homework.wav
housemen,hˈaʊsmɛn,assets_small\housemen.wav
hoggerels,hˈɑːɡɚɹəlz,assets_small\hoggerels.wav
hominisation,hˌɑːmɪnəzˈeɪʃən,assets_small\hominisation.wav
hoaring,hˈoːɹɪŋ,assets_small\hoaring.wav
hologyny,hˈɑːlədʒˌɪni,assets_small\hologyny.wav
hothousings,hˈɑːthaʊsɪŋz,assets_small\hothousings.wav
hryvnas,ˈeɪtʃɹˈɪvnəz,assets_small\hryvnas.wav
hryvna,ˈeɪtʃɹˈɪvnə,assets_small\hryvna.wav
hryvnyas,ˈeɪtʃɹˈɪvnjəz,assets_small\hryvnyas.wav
hryvnia,ˈeɪtʃɹˈɪvniə,assets_small\hryvnia.wav
hryvnya,ˈeɪtʃɹˈɪvnjə,assets_small\hryvnya.wav
hryvnias,ˈeɪtʃɹˈɪvniəz,assets_small\hryvnias.wav
humidor,hjˈuːmɪdˌoːɹ,assets_small\humidor.wav
hungerly,hˈʌŋɡɚli,assets_small\hungerly.wav
hutzpas,hˈʌtspəz,assets_small\hutzpas.wav
huitain,hjˈuːɪtˌeɪn,assets_small\huitain.wav
husbander,hˈʌsbəndɚ,assets_small\husbander.wav
hubbuboos,hˈʌbjuːbˌuːz,assets_small\hubbuboos.wav
humerals,hjˈuːmɚɹəlz,assets_small\humerals.wav
hurricano,hˌɜːɹɪkˈɑːnoʊ,assets_small\hurricano.wav
hurrahed,hɚɹˈɑːd,assets_small\hurrahed.wav
hwyls,ˈeɪtʃwˈɪlz,assets_small\hwyls.wav
hypersusceptibilities,hˌaɪpɚsəsˌɛptəbˈɪlᵻɾiz,assets_small\hypersusceptibilities.wav
hydrophobicity,hˌaɪdɹəfəbˈɪsᵻɾi,assets_small\hydrophobicity.wav
hypothalamic,hˌaɪpoʊθælˈæmɪk,assets_small\hypothalamic.wav
hypnoses,hˈɪpnoʊzᵻz,assets_small\hypnoses.wav
hypers,hˈaɪpɚz,assets_small\hypers.wav
hyperenergetic,hˌaɪpɚɹˌɛnɚdʒˈɛɾɪk,assets_small\hyperenergetic.wav
hypopnoeas,hˌaɪpoʊpnˈiəz,assets_small\hypopnoeas.wav
hypnic,hˈɪpnɪk,assets_small\hypnic.wav
hydrolase,hˈaɪdɹəlˌeɪz,assets_small\hydrolase.wav
iatrochemist,ˈaɪɐtɹˌoʊkɪmˌɪst,assets_small\iatrochemist.wav
iambuses,ˈaɪɐmbjˌuːsᵻz,assets_small\iambuses.wav
iatrogenicity,ˌaɪɐtɹoʊdʒˌɛnˈɪsᵻɾi,assets_small\iatrogenicity.wav
iambics,aɪˈæmbɪks,assets_small\iambics.wav
iambographers,ˌaɪɐmbˈɑːɡɹəfɚz,assets_small\iambographers.wav
iambi,ˈaɪɐmbˌaɪ,assets_small\iambi.wav
iambist,ˈaɪɐmbˌɪst,assets_small\iambist.wav
iatric,aɪˈætɹɪk,assets_small\iatric.wav
iambus,ˈaɪæmbəs,assets_small\iambus.wav
ibidem,ˈaɪbaɪdəm,assets_small\ibidem.wav
iberis,ˈaɪbɚɹˌɪs,assets_small\iberis.wav
ibices,ˈaɪbɪsᵻz,assets_small\ibices.wav
ibrik,ˈɪbɹɪk,assets_small\ibrik.wav
ibises,ˈaɪbaɪzᵻz,assets_small\ibises.wav
ibuprofen,ˌaɪbjuːpɹˈoʊfən,assets_small\ibuprofen.wav
iberises,ˈaɪbɚɹˌaɪzᵻz,assets_small\iberises.wav
ibuprofens,ˌaɪbjuːpɹˈoʊfənz,assets_small\ibuprofens.wav
ibriks,ˈɪbɹɪks,assets_small\ibriks.wav
iciness,ˈaɪsinəs,assets_small\iciness.wav
iceberg,ˈaɪsbɜːɡ,assets_small\iceberg.wav
iconize,ˈaɪkənˌaɪz,assets_small\iconize.wav
iconised,ˈaɪkənˌaɪzd,assets_small\iconised.wav
icecap,ˈaɪskæp,assets_small\icecap.wav
ichthyosaur,ˈɪkθɪˌɑːsɔːɹ,assets_small\ichthyosaur.wav
iconolaters,ˈaɪkənˌɑːleɪɾɚz,assets_small\iconolaters.wav
icestone,ˈaɪsstoʊn,assets_small\icestone.wav
iconolatries,ˌaɪkənˈɑːlətɹiz,assets_small\iconolatries.wav
idolisms,ˈaɪdəlˌɪzəmz,assets_small\idolisms.wav
idioglossias,ˌɪdɪəɡlˈɔsiəz,assets_small\idioglossias.wav
idolatrousnesses,aɪdˈɑːlɐtɹˌaʊsnəsᵻz,assets_small\idolatrousnesses.wav
idiotypes,ˈɪdɪˌɑːtaɪps,assets_small\idiotypes.wav
ideographical,ˌɪdɪəɡɹˈæfɪkəl,assets_small\ideographical.wav
idealises,aɪdˈiəlaɪzᵻz,assets_small\idealises.wav
idents,ˈaɪdənts,assets_small\idents.wav
idolisations,ˌaɪdələzˈeɪʃənz,assets_small\idolisations.wav
ideologists,ˌaɪdɪˈɑːlədʒˌɪsts,assets_small\ideologists.wav
iffiest,ˈɪfiɪst,assets_small\iffiest.wav
iftars,ˈɪftɚz,assets_small\iftars.wav
iffier,ˈɪfiɚ,assets_small\iffier.wav
iftar,ˈɪftɚ,assets_small\iftar.wav
iffinesses,ˈɪfaɪnəsᵻz,assets_small\iffinesses.wav
iffiness,ˈɪfinəs,assets_small\iffiness.wav
iglus,ˈɪɡləs,assets_small\iglus.wav
ignorantness,ˈɪɡnɚɹəntnəs,assets_small\ignorantness.wav
ignominiously,ˌɪɡnəmˈɪniəsli,assets_small\ignominiously.wav
igniter,ɪɡnˈɪɾɚ,assets_small\igniter.wav
ignomy,ˈɪɡnəmi,assets_small\ignomy.wav
ignoble,ɪɡnˈoʊbəl,assets_small\ignoble.wav
ignatias,ɪɡnˈeɪʃəz,assets_small\ignatias.wav
ignitabilities,ɪɡnˌaɪɾəbˈɪlᵻɾiz,assets_small\ignitabilities.wav
ignifies,ɪɡnˈɪfaɪz,assets_small\ignifies.wav
ihram,ˈaɪhɹæm,assets_small\ihram.wav
ihrams,ˈaɪhɹæmz,assets_small\ihrams.wav
ijtihads,ˈeɪɾɪhˌædz,assets_small\ijtihads.wav
ijtihad,ˈeɪɾɪhˌæd,assets_small\ijtihad.wav
ikats,ˈɪkæts,assets_small\ikats.wav
ikons,ˈaɪkənz,assets_small\ikons.wav
ikans,ˈɪkənz,assets_small\ikans.wav
ikebana,aɪkbˈɑːnə,assets_small\ikebana.wav
ikebanas,aɪkbˈɑːnəz,assets_small\ikebanas.wav
illiberalism,ɪlˈɪbɚɹəlˌɪzəm,assets_small\illiberalism.wav
illaqueations,ɪlˌækwiːˈeɪʃənz,assets_small\illaqueations.wav
illimited,ɪlˈɪmɪɾᵻd,assets_small\illimited.wav
illegally,ɪlˈiːɡəli,assets_small\illegally.wav
illegalized,ɪlˈiːɡəlˌaɪzd,assets_small\illegalized.wav
illogicalities,ɪlˈɑːdʒɪkˈælᵻɾiz,assets_small\illogicalities.wav
illipes,ɪlˈaɪps,assets_small\illipes.wav
illegitimating,ɪlədʒˈɪɾɪmˌeɪɾɪŋ,assets_small\illegitimating.wav
illustrate,ˈɪləstɹˌeɪt,assets_small\illustrate.wav
impasting,ɪmpˈæstɪŋ,assets_small\impasting.wav
immaterialise,ˌɪmətˈɪɹiəlˌaɪz,assets_small\immaterialise.wav
impetrator,ɪmpˈɛtɹeɪɾɚ,assets_small\impetrator.wav
imperative,ɪmpˈɛɹətˌɪv,assets_small\imperative.wav
imploringly,ɪmplˈoːɹɪŋli,assets_small\imploringly.wav
imperium,ɪmpˈɪɹiəm,assets_small\imperium.wav
implunged,ɪmplˈʌndʒd,assets_small\implunged.wav
immolations,ɪməlˈeɪʃənz,assets_small\immolations.wav
impressionism,ɪmpɹˈɛʃənˌɪzəm,assets_small\impressionism.wav
infestation,ɪnfɛstˈeɪʃən,assets_small\infestation.wav
interpenetrated,ˌɪntɚpˈɛnɪtɹˌeɪɾᵻd,assets_small\interpenetrated.wav
inciting,ɪnsˈaɪɾɪŋ,assets_small\inciting.wav
invigilator,ɪnvˈɪdʒᵻlˌeɪɾɚ,assets_small\invigilator.wav
indispensablenesses,ˌɪndɪspˈɛnseɪbəlnəsᵻz,assets_small\indispensablenesses.wav
interserted,ˌɪntɚsˈɜːɾᵻd,assets_small\interserted.wav
intactness,ɪntˈæktnəs,assets_small\intactness.wav
instancy,ˈɪnstənsi,assets_small\instancy.wav
inhumes,ɪnhjˈuːmz,assets_small\inhumes.wav
iodic,aɪˈɑːdɪk,assets_small\iodic.wav
ionisation,ˌaɪənəzˈeɪʃən,assets_small\ionisation.wav
iodizers,ˈaɪədˌaɪzɚz,assets_small\iodizers.wav
iodinates,aɪˈɑːdᵻnəts,assets_small\iodinates.wav
iodination,ˌaɪədᵻnˈeɪʃən,assets_small\iodination.wav
iodised,ˈaɪədˌaɪzd,assets_small\iodised.wav
iodations,ˌaɪədˈeɪʃənz,assets_small\iodations.wav
ionizers,ˈaɪənˌaɪzɚz,assets_small\ionizers.wav
ionicities,ˌaɪənˈɪsᵻɾiz,assets_small\ionicities.wav
ipselateral,ˈɪpsɪlˌæɾɚɹəl,assets_small\ipselateral.wav
ippon,ˈɪpən,assets_small\ippon.wav
ipecac,ˈaɪpkæk,assets_small\ipecac.wav
ipecacuanhas,ˌaɪpkɐkjuːˈænhəz,assets_small\ipecacuanhas.wav
ipomoeas,ˌaɪpəmˈiəz,assets_small\ipomoeas.wav
ipecacs,ˈaɪpkæks,assets_small\ipecacs.wav
iprindole,ˈɪpɹɪndˌoʊl,assets_small\iprindole.wav
ipratropium,ˌɪpɹɐtɹˈoʊpiəm,assets_small\ipratropium.wav
ipsilaterally,ˈɪpsɪlˌæɾɚɹəli,assets_small\ipsilaterally.wav
ireless,ˈaɪɚləs,assets_small\ireless.wav
iridescently,ˌɪɹɪdˈɛsəntli,assets_small\iridescently.wav
irreparable,ɪɹˈɛpɚɹəbəl,assets_small\irreparable.wav
irresolution,ɪɹˌɛzəlˈuːʃən,assets_small\irresolution.wav
irremissible,ɪɹᵻmˈɪsᵻbəl,assets_small\irremissible.wav
ironwoman,ˈaɪɚnwʊmən,assets_small\ironwoman.wav
irradicably,ɪɹˈædɪkəbli,assets_small\irradicably.wav
irrationalizes,ɪɹˈæʃənəlˌaɪzᵻz,assets_small\irrationalizes.wav
irregulars,ɪɹˈɛɡjʊlɚz,assets_small\irregulars.wav
isografting,ˈaɪsəɡɹˌæftɪŋ,assets_small\isografting.wav
isabelline,ˈɪseɪbəlˌaɪn,assets_small\isabelline.wav
isoforms,ˈaɪsəfˌɔːɹmz,assets_small\isoforms.wav
isodiaphere,ˈaɪsoʊdˌɪæfɚ,assets_small\isodiaphere.wav
isopleth,ˈaɪsəpələθ,assets_small\isopleth.wav
islands,ˈaɪləndz,assets_small\islands.wav
isopachyte,ˈaɪsəpˌækɪt,assets_small\isopachyte.wav
isotherm,ˈaɪsəðˌɜːm,assets_small\isotherm.wav
isolecithal,ˈaɪsoʊlsˌɪθəl,assets_small\isolecithal.wav
italicized,ɪtˈælɪsˌaɪzd,assets_small\italicized.wav
iteming,ˈaɪɾəmɪŋ,assets_small\iteming.wav
iterates,ˈɪɾɚɹˌeɪts,assets_small\iterates.wav
itinerates,aɪtˈɪnɚɹˌeɪts,assets_small\itinerates.wav
italicisations,ˌɪɾɐlˌɪsəzˈeɪʃənz,assets_small\italicisations.wav
iterating,ˈɪɾɚɹˌeɪɾɪŋ,assets_small\iterating.wav
itaconic,ˌɪɾɐkˈɑːnɪk,assets_small\itaconic.wav
ither,ˈɪðɚ,assets_small\ither.wav
itacisms,ˈɪɾɐsˌɪzəmz,assets_small\itacisms.wav
ivorybills,ˈaɪvoːɹˌɪbɪlz,assets_small\ivorybills.wav
ivorists,ˈaɪvoːɹˌɪsts,assets_small\ivorists.wav
ivories,ˈaɪvɚɹiz,assets_small\ivories.wav
ivermectin,ˈaɪvɚmˌɛktɪn,assets_small\ivermectin.wav
ivermectins,ˈaɪvɚmˌɛktɪnz,assets_small\ivermectins.wav
ivorywoods,ˈaɪvɚɹiwˌʊdz,assets_small\ivorywoods.wav
ivied,ˈaɪvid,assets_small\ivied.wav
ivorywood,ˈaɪvɚɹiwˌʊd,assets_small\ivorywood.wav
ivies,ˈaɪviz,assets_small\ivies.wav
ixodiasis,ˌaɪksoʊdɪˈɑːsiz,assets_small\ixodiasis.wav
ixtles,ˈɪkstəlz,assets_small\ixtles.wav
ixoras,ˈaɪksoːɹəz,assets_small\ixoras.wav
ixora,ˈaɪksoːɹə,assets_small\ixora.wav
ixtle,ˈɪkstəl,assets_small\ixtle.wav
ixodid,ˈaɪksədˌɪd,assets_small\ixodid.wav
ixodids,ˈaɪksədˌɪdz,assets_small\ixodids.wav
ixias,ˈɪksiəz,assets_small\ixias.wav
ixodiases,ˈaɪksoʊdˌɪeɪsᵻz,assets_small\ixodiases.wav
izzats,ˈɪzæts,assets_small\izzats.wav
izards,ˈɪzɚdz,assets_small\izards.wav
izvestias,ˈɪzvɛstʃəz,assets_small\izvestias.wav
izzat,ˈɪzæt,assets_small\izzat.wav
izars,ˈɪzɑːɹz,assets_small\izars.wav
izvestiya,ˈɪzvɪstˌɪjə,assets_small\izvestiya.wav
izvestia,ˈɪzvɛstʃə,assets_small\izvestia.wav
izzard,ˈɪzɚd,assets_small\izzard.wav
izard,ˈɪzɚd,assets_small\izard.wav
japanized,dʒˈæpənˌaɪzd,assets_small\japanized.wav
jarful,dʒˈɑːɹfəl,assets_small\jarful.wav
jackhammering,dʒˈækhɐmɚɹɪŋ,assets_small\jackhammering.wav
jargoneer,dʒˌɑːɹɡənˈɪɹ,assets_small\jargoneer.wav
jangliest,dʒˈæŋɡliɪst,assets_small\jangliest.wav
jarina,dʒɑːɹɹˈiːnə,assets_small\jarina.wav
jackplane,dʒˈækpleɪn,assets_small\jackplane.wav
jaboticaba,dʒˌæbəɾɪkˈɑːbə,assets_small\jaboticaba.wav
javelins,dʒˈævəlɪnz,assets_small\javelins.wav
jerrymander,dʒˈɛɹɪmˌændɚ,assets_small\jerrymander.wav
jealousies,dʒˈɛləsiz,assets_small\jealousies.wav
jettiness,dʒˈɛtɪnəs,assets_small\jettiness.wav
jewels,dʒˈuːəlz,assets_small\jewels.wav
jeweller,dʒˈuːəlɚ,assets_small\jeweller.wav
jehadis,dʒɛhˈædiz,assets_small\jehadis.wav
jerrycans,dʒˈɛɹɪkənz,assets_small\jerrycans.wav
jesserant,dʒˈɛsɚɹənt,assets_small\jesserant.wav
jennies,dʒˈɛnɪz,assets_small\jennies.wav
jhalas,dʒˈɑːləz,assets_small\jhalas.wav
jhatkas,dʒˈætkəz,assets_small\jhatkas.wav
jhala,dʒˈɑːlə,assets_small\jhala.wav
jhatka,dʒˈætkə,assets_small\jhatka.wav
jimminy,dʒˈɪmɪni,assets_small\jimminy.wav
jitterbugged,dʒˈɪɾɚbˌʌɡd,assets_small\jitterbugged.wav
jiggermasts,dʒˈɪɡɚmˌæsts,assets_small\jiggermasts.wav
jigajogging,dʒˈɪɡɐdʒˌɑːɡɪŋ,assets_small\jigajogging.wav
jingko,dʒˈɪŋkoʊ,assets_small\jingko.wav
jimpnesses,dʒˈɪmpnəsᵻz,assets_small\jimpnesses.wav
jittered,dʒˈɪɾɚd,assets_small\jittered.wav
jinns,dʒˈɪnz,assets_small\jinns.wav
jibbering,dʒˈɪbɚɹɪŋ,assets_small\jibbering.wav
jnana,dʒˈeɪnˈɑːnə,assets_small\jnana.wav
jnanas,dʒˈeɪnˈɑːnəz,assets_small\jnanas.wav
jocularly,dʒˈɑːkjʊlɚli,assets_small\jocularly.wav
jollities,dʒˈɑːlᵻɾiz,assets_small\jollities.wav
journalistically,dʒˌɜːnəlˈɪstɪkli,assets_small\journalistically.wav
joypopper,dʒˈɔɪpɑːpɚ,assets_small\joypopper.wav
jocund,dʒˈɑːkʌnd,assets_small\jocund.wav
jointers,dʒˈɔɪntɚz,assets_small\jointers.wav
johnnie,dʒˈɑːni,assets_small\johnnie.wav
jooks,dʒˈʊks,assets_small\jooks.wav
jolly,dʒˈɑːli,assets_small\jolly.wav
junked,dʒˈʌŋkt,assets_small\junked.wav
junketings,dʒˈʌŋkɪɾɪŋz,assets_small\junketings.wav
juked,dʒˈuːkt,assets_small\juked.wav
jubiles,dʒˈuːbaɪlz,assets_small\jubiles.wav
jumblier,dʒˈʌmblɪɚ,assets_small\jumblier.wav
judogi,dʒuːdˈoʊɡi,assets_small\judogi.wav
jumhouriyas,dʒˈʌmaʊɚɹˌɪjəz,assets_small\jumhouriyas.wav
jurors,dʒjˈʊɹɹɚz,assets_small\jurors.wav
juvenescence,dʒˌuːvənˈɛsəns,assets_small\juvenescence.wav
jynxes,dʒˈɪŋksᵻz,assets_small\jynxes.wav
jymold,dʒˈaɪmoʊld,assets_small\jymold.wav
karengos,kæɹˈɛŋɡoʊz,assets_small\karengos.wav
kamises,kˈæmaɪzᵻz,assets_small\kamises.wav
karearea,kˈɛɹiəɹˈiə,assets_small\karearea.wav
kabalas,kæbˈɑːləz,assets_small\kabalas.wav
katipos,kætˈɪpoʊz,assets_small\katipos.wav
kalyptras,kˈælɪptɹəz,assets_small\kalyptras.wav
katanas,kætˈɑːnəz,assets_small\katanas.wav
kaamas,kˈɑːməz,assets_small\kaamas.wav
kahals,kˈæhəlz,assets_small\kahals.wav
kbars,kˈeɪbˈɑːɹz,assets_small\kbars.wav
kerplunks,kˈɜːplʌŋks,assets_small\kerplunks.wav
keenly,kˈiːnli,assets_small\keenly.wav
keepnets,kˈiːpnɪts,assets_small\keepnets.wav
keylines,kˈiːlaɪnz,assets_small\keylines.wav
kennetting,kˈɛnɪɾɪŋ,assets_small\kennetting.wav
keratinisation,kˌɛɹɐtˌɪnəzˈeɪʃən,assets_small\keratinisation.wav
kermesite,kˈɜːmɪsˌaɪt,assets_small\kermesite.wav
ketones,kˈɛtoʊnz,assets_small\ketones.wav
kebele,kˈɛbɛl,assets_small\kebele.wav
kgotlas,kˈeɪɡˈɑːtləz,assets_small\kgotlas.wav
kgotla,kˈeɪɡˈɑːtlə,assets_small\kgotla.wav
khilim,kˈɪlɪm,assets_small\khilim.wav
khedas,kˈɛdəz,assets_small\khedas.wav
khandas,kˈɑːndəz,assets_small\khandas.wav
khidmutgars,kˈɪdmʌtɡɚz,assets_small\khidmutgars.wav
khedivates,kˈɛdᵻvˌeɪts,assets_small\khedivates.wav
khotbehs,kˈɑːtbeɪz,assets_small\khotbehs.wav
khalat,kˈɑːlæt,assets_small\khalat.wav
khanums,kˈɑːnəmz,assets_small\khanums.wav
khets,kˈɛts,assets_small\khets.wav
kilobytes,kˈɪləbˌaɪts,assets_small\kilobytes.wav
kibitkas,kˈɪbɪtkəz,assets_small\kibitkas.wav
kidlings,kˈɪdlɪŋz,assets_small\kidlings.wav
killuts,kˈɪlʌts,assets_small\killuts.wav
kinfolks,kˈɪnfoʊks,assets_small\kinfolks.wav
kickstarts,kˈɪkstɑːɹts,assets_small\kickstarts.wav
kilters,kˈɪltɚz,assets_small\kilters.wav
killut,kˈɪlʌt,assets_small\killut.wav
kinescoping,kˈaɪnskoʊpˌɪŋ,assets_small\kinescoping.wav
klieg,klˈiːɡ,assets_small\klieg.wav
klaxoned,klˈæksənd,assets_small\klaxoned.wav
